Carimbo de data/hora,1. Gênero,2. Faixa Etária,3. Escolaridade (Nível mais elevado concluído ou em curso),4. Área Científica/de Formação,5. Tipo de Instituição de Ensino Superior (IES) em que atua,6. Tempo de Docência,"7. Avalie o seu nível de familiaridade com ferramentas virtuais (EaD, Redes Sociais, Aplicativos de modo geral)","8. Você já utilizou alguma plataforma de Inteligência Artificial Generativa (IAG) anteriormente (ex: ChatGPT, Gemini, Copilot)?",9. Qual o nível de dificuldade que enfrentou no uso de ferramentas de IA?,10. Participação em cursos de formação sobre o uso de IA:,11. Autoavaliação do nível de conhecimento em IA (em relação aos colegas):,12. Qual a frequência de utilização da IA na sua prática pedagógica?,13. Como você considera a inserção da Inteligência Artificial Generativa (IAG) na prática pedagógica?,14. Impactos das ferramentas de IA no trabalho diário:,15. Você considera que as tecnologias em geral:,16. Qual a principal finalidade de uso da IA no seu planejamento docente?,17. Como a IA poderia ser inserida em sua prática pedagógica? (Dê um exemplo),18. Expectativas quanto ao aumento do uso da IA no Ensino Superior nos próximos anos:,19. Você acredita que os sistemas de IA:,"20. Na sua opinião, com o advento da IA, o professor humano continuará sendo indispensável para:",21. Enfrentamento de dilemas éticos no uso de IA:,"22. Qual é a frequência de uso da IA pelos estudantes, na sua percepção?",23. Qual a sua opinião sobre a regulamentação do uso de IA pela instituição de ensino?
20/04/2026 08:05:35,Masculino,41 a 50 anos,Doutorado,Ciências Biológicas,Pública,De 11 a 20 anos,3,Sim,Pouca,"Não, mas gostaria de participar",Inferior ao da maioria dos colegas,Ocasionalmente,Pouco oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor, São uma ameaça ao emprego do professor, Levam a um estudo superficial","Auxílio na correção de trabalhos e elaboração de feedbacks, Para tarefas administrativas e burocráticas (e-mails, relatórios)","Para análise de números, estatísticas, criação de imagens para facilitar a visualização de conceitos e estruturas que são descritivas nos livros, mas sem imagem para ser visualizado pelo leitor para melhor compreender.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito o número de professores, Vão reduzir muito o emprego de rotina, Vão alterar muito o perfil de competências dos professores","Desenvolver competências de liderança, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve proibir o uso por estudantes em trabalhos avaliativos, A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 08:08:07,Masculino,41 a 50 anos,Pós-Doutorado,Ciências e Engenharia de Materiais,Pública,De 5 a 10 anos,5,Sim,Nenhuma,"Sim, várias vezes",No mesmo nível que a maioria dos colegas,Ocasionalmente,Muito oportuna,Facilitam o trabalho,Obrigam o professor a atualizar-se,"Elaboração de materiais didáticos (slides, textos de apoio, resumos), Criação de bancos de questões e exercícios para provas, Para tarefas administrativas e burocráticas (e-mails, relatórios)",Melhora a elaboração de exemplos teóricos com situações do dia a dia.,Aumentará de forma significativa,Vão ser muito usados em estudo autônomo e EaD,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, mas é administrável",A maioria utiliza diariamente,A regulamentação é desnecessária; cada professor deve decidir suas regras
20/04/2026 08:12:30,Feminino,Mais de 60 anos,Pós-Doutorado,Ciências Biológicas,Pública,Mais de 20 anos,3,Não,Não se aplica (nunca utilizei),"Não, e não gostaria de participar",Não tenho conhecimento sobre ferramentas de IA,Nunca,Oportuna,Não afetam de maneira significativa,Obrigam o professor a atualizar-se,"Elaboração de materiais didáticos (slides, textos de apoio, resumos)",Preparação de material didático.,Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa",Não utilizo IA no ensino,A maioria utiliza diariamente,"A instituição deve proibir o uso por estudantes em trabalhos avaliativos, A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 08:19:05,Masculino,41 a 50 anos,Doutorado,Ciências Biológicas,Pública,De 5 a 10 anos,4,Sim,Nenhuma,"Não, e não gostaria de participar",Superior ao da maioria dos colegas,Raramente,Oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, Melhoram o trabalho do professor","Para tarefas administrativas e burocráticas (e-mails, relatórios)","Na verdade utilizo mais as ferramentas de IA generativa para a tradução de meus manuscritos para a língua inglesa.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão reduzir muito o emprego de rotina, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Não, nunca tive um problema ético com IA",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 08:31:46,Masculino,51 a 60 anos,Pós-Doutorado,Ciências Ambientais,Pública,Mais de 20 anos,4,Sim,Pouca,"Não, mas gostaria de participar",No mesmo nível que a maioria dos colegas,Ocasionalmente,Oportuna,Aumentam a carga de trabalho,"Obrigam o professor a atualizar-se, Levam a um estudo superficial","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Para tarefas administrativas e burocráticas (e-mails, relatórios)","Auxílio na correção, entretanto a IA ainda é muito ruim nesse aspecto.",Aumentará de forma significativa,"Vão alterar muito o nosso modo de ensino, Vão alterar muito o perfil de competências dos professores","Desenvolver competências emocionais, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade","Sim, é um problema recorrente",A maioria utiliza diariamente,"O uso deve ser totalmente livre e incentivado, sem restrições, A regulamentação é desnecessária; cada professor deve decidir suas regras"
20/04/2026 08:35:56,Masculino,41 a 50 anos,Pós-Doutorado,Ciências Biológicas / Oceanografia,Pública,De 11 a 20 anos,3,Não,Não se aplica (nunca utilizei),"Não, e não gostaria de participar",Inferior ao da maioria dos colegas,Nunca,Nada oportuna,Não afetam de maneira significativa,Levam a um estudo superficial,"Para tarefas administrativas e burocráticas (e-mails, relatórios)","Não acho que deveria ser usada, IA não é nem inteligente (usa algoritmo de correlação e não pensa de verdade) e nem artificial (é gerada por humanos). Isso não sou eu quem diz e sim Miguel Nicolelis, possivelmente uma das mentes mais brilhantes da atualidade.",Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa",Não utilizo IA no ensino,A maioria utiliza diariamente,A instituição deve proibir o uso por estudantes em trabalhos avaliativos
20/04/2026 10:27:03,Masculino,51 a 60 anos,Doutorado,Estatística,Pública,Mais de 20 anos,3,Sim,Pouca,"Não, mas gostaria de participar",Superior ao da maioria dos colegas,Com frequência,Muito oportuna,Facilitam o trabalho,Obrigam o professor a atualizar-se,"Elaboração de materiais didáticos (slides, textos de apoio, resumos)","A IA pode ser inserida na prática pedagógica de Estatística como ferramenta de análise e visualização de dados. Por exemplo, após os alunos construírem manualmente uma tabela de frequências e calcularem média, mediana e moda de um conjunto de dados, o professor pode usar a IA para gerar automaticamente gráficos e análises adicionais. Em seguida, os alunos comparam suas conclusões com as da IA, discutindo diferenças e avaliando a qualidade das interpretações. Assim, a IA funciona como apoio ao pensamento crítico e à compreensão dos conceitos estatísticos.",Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, mas é administrável",A maioria utiliza algumas vezes por semana,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 11:59:02,Feminino,Mais de 60 anos,Doutorado,Biblioteconomia e Arquivologia,Pública,Mais de 20 anos,3,Sim,Muita,"Não, mas gostaria de participar",Inferior ao da maioria dos colegas,Ocasionalmente,Muito oportuna,Facilitam o trabalho,"Obrigam o professor a atualizar-se, São desafios para o professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos)",Elaboração de materiais didáticos.,Aumentará de forma significativa,Vão alterar muito o perfil de competências dos professores,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve proibir o uso por estudantes em trabalhos avaliativos, A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 12:04:08,Feminino,41 a 50 anos,Doutorado,Fonoaudiologia,Pública,Mais de 20 anos,4,Sim,Pouca,"Não, mas gostaria de participar",No mesmo nível que a maioria dos colegas,Ocasionalmente,Oportuna,Facilitam o trabalho,Obrigam o professor a atualizar-se,"Elaboração de materiais didáticos (slides, textos de apoio, resumos)","Para criar questões, ajudar na correção de trabalhos.",Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, mas é administrável",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 13:31:14,Feminino,41 a 50 anos,Doutorado,Ciências Agrárias,Pública,Mais de 20 anos,4,Sim,Pouca,"Sim, várias vezes",Superior ao da maioria dos colegas,Com frequência,Oportuna,Facilitam o trabalho,Melhoram o trabalho do professor,"Elaboração de materiais didáticos (slides, textos de apoio, resumos), Para tarefas administrativas e burocráticas (e-mails, relatórios)","Como auxílio na melhoria da escrita, auxílio no estudo de conteúdos, criação de figuras, gráficos, tabelas e fluxogramas, pesquisa de material bibliográfico.",Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Não, nunca tive um problema ético com IA",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
20/04/2026 17:43:28,Masculino,31 a 40 anos,Doutorado,Ciência da Computação,Pública,Menos de 5 anos,4,Sim,Nenhuma,"Sim, uma vez",No mesmo nível que a maioria dos colegas,Ocasionalmente,Oportuna,Facilitam o trabalho,"São desafios para o professor, Levam a um estudo superficial",Criação de bancos de questões e exercícios para provas,Usar com agente especializado em um tópico específico ou por meio de diálogos socráticos.,Aumentará de forma moderada,Vão ser muito usados em estudo autônomo e EaD,"Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver a capacidade de compreender a realidade","Não, nunca tive um problema ético com IA",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
21/04/2026 13:57:34,Masculino,Mais de 60 anos,Mestrado,Estatística,Pública,Mais de 20 anos,1,Não,Não se aplica (nunca utilizei),"Não, e não gostaria de participar",Inferior ao da maioria dos colegas,Nunca,Nada oportuna,Resultam sempre em mais trabalho,Levam a um estudo superficial,"Para tarefas administrativas e burocráticas (e-mails, relatórios)",Não será inserida.,Aumentará de forma significativa,Vão alterar muito o nosso modo de ensino,Desenvolver competências interpessoais,"Sim, é um problema recorrente",A maioria provavelmente não utiliza,A instituição deve proibir o uso por estudantes em trabalhos avaliativos
23/04/2026 10:35:12,Masculino,41 a 50 anos,Doutorado,Ciência da Computação,Pública,De 5 a 10 anos,4,Sim,Pouca,"Sim, várias vezes",Superior ao da maioria dos colegas,Ocasionalmente,Oportuna,Não afetam de maneira significativa,"Obrigam o professor a atualizar-se, São desafios para o professor, Melhoram o trabalho do professor","Elaboração de materiais didáticos (slides, textos de apoio, resumos), Para tarefas administrativas e burocráticas (e-mails, relatórios)",A IA facilita consideravelmente o meu trabalho quando preciso me atualizar sobre questões pontuais das disciplinas que leciono.,Aumentará de forma significativa,"Vão reduzir muito o emprego de rotina, Vão ser muito usados em estudo autônomo e EaD","Desenvolver competências interpessoais, Desenvolver competências emocionais, Desenvolver competências de liderança, Desenvolver atitudes éticas, Desenvolver competências de decisão, Desenvolver a capacidade de compreender a realidade, Desenvolver competências de pesquisa","Sim, é um problema recorrente",A maioria utiliza diariamente,"A instituição deve criar diretrizes éticas claras, mas permitir o uso assistido"
